,j_left_x,j_left_y,j_right_x,j_right_y
count,500.0,500.0,500.0,500.0
mean,0.1773136943514141,-0.6822153882264086,0.0032839568839842528,0.001756783823804026
std,0.3610565149001736,0.34580160659748016,0.11969712221362393,0.0521358602877931
min,-0.8138474420605235,-0.9519167646634032,-0.6290474003472231,-0.18190824387343044
25%,-0.1229376159973328,-0.8694037921588523,0.0,0.0
50%,0.2009601407525095,-0.8324753342918572,0.0,0.0
75%,0.41316592261733415,-0.6522096003603137,0.0,0.0
max,0.6989256781287698,0.9190899407542693,0.9792203868820429,0.8780104533125842
